text,label,review_date
"Yum! Such a great bakery and is always consistently amazing. I got a blueberry muffin and it was massive for the price. The top was crunchy and not overly sugary like most muffin, while the inside was soft and moist. The muffin had a plenty full amount of blueberries which is hard to find. I also got the s'mores cupcake, it was delicious! My mother loved the cranberry bar. Definitely recommend if your in the area.",positive,2022-01-19
"Since moving to St Pete a few months back, Pete's Bagels wins the award for ""Most Frequented Shop.""  I have frequented *many* times and enjoyed *many* baked goods and bagel creations. Better yet, the baked goods rotate pretty frequently, so there is always something new and *delicious* to try.",positive,2022-01-14
"I Am A Biscuit Slut for Willa Jean - direct quote from our dope waitress who shall remain nameless (she knows who she is!). 

This spot hits for sure. We love another well no in place, also in the French quarter but we wanted to try something different and we are so glad we did! Walked in before I got too busy and we were seated immediately after they checked our vaccine cards. The menu is not vast but the items listed demands your attention. The first day we went, I ordered the hangover bowl and my wife had the avocado toast, preluded by the monkey bread and artichoke dip. All were absolutely fantastic. The monkey bread has crunchy caramelized toffee bits and the dip was so cheesy and gooey - what a delicious delight. The egg in both main dishes were cooked to perfection and they are NOT shy with the avocado! Also the matcha vanilla latte is insaneeeeeeee! 

We returned the next morning because, why not?  The way was annoying because it was cold AND windy but worth the wait. This time We started with the banana breas which was exquisite! And I had the tabasco honey biscuit - it was so amazing it was damn near rude! I mean wow! The edges were crisp but dense and doughy and the chicken was insane. I added and egg but it certainly didnt need it! My wife had the bbq toast which she enjoyed but I thought it was just ok in comparison to the biscuit! The absolute star however was the sausage gravy! I have only tried sausage gravy twice previously and both have been disappointments but this?!?! Was absolutely mind blowing Lee delicious. It was chunky but somehow smoothand bursting with flavor with a lovely kick of spice - I mean absolutely insane. I also had a strawberry bellini which was surprisingly delish and of course another matcha latte. 

This is a special spot from the warmth of the folks working there to the lovingly made food. Next time Im in Nawlins, I will make a beeline straight for WIlla Jean without hesitation!",positive,2022-01-18
"Working in the area this week, I was so happy to pop coffee into Yelp and find this place only two blocks away. I have already tried a lot- Pistachio latte, chai, pour over, iced coffee, and espresso, as well as the delicious pastries from Au Fornil bakery. Love the blueberry tarte and coffee cake. The baristas are all super friendly, and when I came around closing time, they still helped me out, going above and beyond. 

When I look for a local coffee shop, I make a checklist of things I need, and this place checks off everything: 
Friendly staff, free water, comfy seating, good pastries, and proximity. They also have a lil merch section with prints, shirts, hats etc for local appeal. Love the addition to the area, and so happy to find my new favorite coffee shop!",positive,2022-01-13
"Let's get right to the point: this place is an ugly twin of Panda Express; it's identical with pricing and food options, but the quality is slightly lower. 

I think Panda Express is God's gift to mankind, so I thought this place was average. However, I realize any normal person would have probably throw up, and so I am reluctant to give 3 stars, but it's because there can be only one greasy-unauthentic-Asian-running-to-the-bathroom establishment, and that's Panda Express.",neutral,2022-01-14
"I was looking forward to going to Coffee N' Comics. When I entered there were 2 people behind the counter. They did not greet me or wish to help me. Finally after a couple moments they seemed to notice I was there to order.

The person taking my order acted like I was ordering something from another planet. She/He was very condescending.

I have never experienced such unfriendliness at a coffee shop. The whole experience left me feeling bad. I'm sorry I went there!",negative,2022-01-11
"This is one of those rare gems that you only find every once in awhile. I absolutely have found a place that is warm and welcoming. The staff are always sweet and kind and friendly. But that's just the bonus. The food and drinks are absolutely amazing. I don't live in the area but I wish I did so that I could go here everyday. The pastries are amazing. My favorite is the morning bun. They also have other morning favorites. Sandwiches too. You will not be disappointed. If you do the drive through, just be prepared for it to be busy. But they try to get you through fast. It's definitely worth the wait. I can't wait to go back!",positive,2022-01-12
0 stars my wife and I went to the park center location for breakfast this morning. We waited patiently for an hour while our server kept making excuses about how the kitchen had a bunch of to go orders and our food would be right out. We noticed people getting there food that ordered after us. The server then came and told us the kitchen had lost our ticket and asked to take our order again. At that point we just got up and left. I've never experienced anything like that and cannot believe this place does so much business. In my opinion this is a prime example of where things are headed if you can find people to show up they are absolute idiots. My wife and I are owners of two business and are completely disgusted with how we were treated.,negative,2022-01-09
"IMunch Cafe offered everything I desire in a neighborhood establishment.  

1) Friendly staff
2) Food prepared with fresh, high-quality ingredients 
3) WiFi
4) Strong a$$ Lattes!",positive,2022-01-13
"Had dinner here last night. If you are looking for underwhelming Italian food at a reasonable price, then this is the place for you.  I started out with Lobster Bisque soup which I thought was way too thick.  I'm an East Coast transplant so I know my seafood dishes.  Lobster Bisque is meant to be more of a delicate soup with a lot of rich flavor.  This soup just did not cut it.  My next course was the Caprese Salad. The tomatoes were underripe and had no flavor.  If you can't get flavorful tomatoes to use  in a tomato salad, you shouldn't serve this salad at all.  Using heirloom tomatoes would have greatly improved the taste of this salad; instead, all the flavor came from their balsamic glaze and the basil which was the topping on the tomatoes and the cheese.  My next course was the Pork Scallopine with mushrooms and a balsamic creamy sauce.  What a surprise when it arrived as two large chewy pork chops which were pounded not so thin.  The typical Pork Scallopine or the Pork Scallopine I have always had in an Italian Restaurant, and how I prepare it at home,  has been made with the tenderloin of pork which is pounded very thin to create a tender, melt in your mouth feel from the pork.  If there are going to serve you a somewhat pounded pork chop, there need to describe it as such.  I asked the owner's wife what cut of pork they used and she told me it was not a pork chop and the server asked the kitchen and she told me it was a pork chop???

I had to give them 2 stars for the service we received and the fact that they exchanged my meal for something else.  The replacement was the Lamb Lollipops which were overcooked and strangely served with waffle fries.  They seem to be a bit confused about what they are serving as Italian food--  waffle fries did not seem to compliment the lamb at all.

I was so hopeful when we found out another Italian Restaurant opened in town since we seem to lack in number in Italian Restaurants compared to the other ethnic ones we have here in Tucson.

I am sorry to say we will not be returning for another disappointing dinner here.",negative,2022-01-09
"I like this Whole Foods best out of the 3 in the Nola area! Their prepared section has lots of awesome vegan options, I LOVE their vegan chicken and tuna salads and check out the bakery section bc they always have a vegan table with tons of awesome baked treats like donut holes and croissants. Staff is super friendly and helpful and it's in a beautiful spot on magazine just a few blocks from the park. It's an old street car barn which gives it the most amazing historic feel! Highly recommend!!!",positive,2022-01-15
"This was such an incredible experience, from the entrance, to the service, and of course, to the food. As soon as you walk in, you're greeted with a bookstore, coffee shop and a champagne bar. The atmosphere is indescribable - it's beautiful, especially the outdoor dining area. Their brunch/breakfast menu is large with a variety of options.

It was so good, that we returned the next day. The first day I had the smoked salmon bagel with fresh orange juice and coffee. I mean WOW, the best lox bagel I've ever had. The pickled red onions added so much flavor to the dish. The second day I ordered what the waiter recommended - steak sandwich with tomato soup/dip and it was incredible. I don't see it on their online menu, but you'll see it at the restaurant. Be forewarned that it is SUPER filling and got me through lunch and almost dinner as well 

I can't recommend Oxford Exchange enough. 5/5 without a second of doubt.",positive,2022-01-09
Great variety of ice cream and the final product is really good. Need to try their bread and pastries next!,positive,2022-01-12
This place is amazing!!! Love the food here. They have amazing oxtail. If you are looking for a great place to eat. Check it out! You'll love it!,positive,2022-01-17
"I'm in love with the caramel caretto (may be spelling that wrong).  It's a warm hug in a cup. So smooth and delicious.  Today I had decaf with oat milk.  Very yummy. 

Sat inside and did some work.  I find it cold inside but it's also -25 so it's just cold.  The place is super clean and lots of spots to sit.  

Lots of parking available and a drive through.",positive,2022-01-19
"Everything is delicious!!  We are vacationing here from NYC and we're blown away by how good the food was. I've had a lot of subpar vegan food in Florida so we went expecting much but this place is amazing!!!! Smoothie was soooo good, the vegan bowl was beautiful, the vegan hot dog was BOMB, brownie was so yummy. We ordered a bunch of food to go because the food was so good! My non vegan partner also really enjoyed his food so it's a win win for everyone!",positive,2022-01-09
I wouldn't recommend to go ordering. I got my order to go today the food melted through the Styrofoam therefore tasted terrible the pancakes were overcooked so to tough to eat the eggs tasted terrible,neutral,2022-01-14
Fabulous! The people who work here are the best.  So kind.  The ice cream comes from Sarasota and it's decent. The doughnuts are so amazing just wish they sold smaller portions like 3 doughnuts.  Long hours.  8 am to 10 pm.  Parking might be a challenge at times yet I got lucky and went when it was slow.  Look forward to a return visit.,positive,2022-01-09
"Best breakfast we had on our last trip, shrimp and grits were the best we've had in our 30 years of visiting NOLA, staff was attentive but overbearing. We found it completely by accident, we were walking to another place but thought this place looks interesting. It is on our list of must visit, we go twice a year, all I can say to the staff is Thank you!",positive,2022-01-10
Amazing people and fast services! I love everything about there feeling the heart warming chill atmosphere.,positive,2022-01-17
Haley the waitress/bar tender is fabulous! Thank you for the exceptional kindness and service you provide over and over again!!,positive,2022-01-16
"This restaurant aint have any certificates for halal from JAKIM . and the boss ? aint give a shut about the workers . the food is in small portions, tasteless. especially the old lady who makes the water , talking to much then forget about the drinks she have to make .",negative,2022-02-06
"Oh my god i ordered a medium carmel swirl latte like and it tasted really good tbh but i legit only got 5 sips...the cup was full of ice till the bottom ridge at the top of the cup. SCAMMERS!!!! anyways literally ask for light ice if you ever go lol. But i wont be going there any time soon, ill stick to Starbucks!",negative,2022-01-11
"Ready to rocket? Jet fuel is the answer. Of course other options. Just listing my fave. Sincerely, this is the best coffee in St. Pete. And there's quite a few options as we know. The patio is 5 star...location is 5 star...with 5* service too :-)))",positive,2022-01-14
No vegan options. Super disappointed because one of my friends just went there a few days ago and they told her that her food was vegan. Went today to check it out and turns out someone lied to her. Not only is it dangerous (people have food allergies) it is also unethical to lie about what you are serving people.,negative,2022-01-14
"You can't judge a book by its cover, but you sure can judge a coffee shop it by its Matcha! 

I visited recently with my sister and ordered a matcha latte. My sister ordered the red velvet latte, which was a little too sweet for both of us.

My matcha latte was very good though! I think matcha is generally a great way (for me at least) to judge a tea/coffee cafe. It was strong enough, well mixed, and not too sweet! 

Very well done! I'd visit again!",positive,2022-01-11
"I was born and raised in Hong Kong and my parent are from China so I get to know many fish from both side with their real taste for many many years before I moved to American. I love Dim Sum 點心, When I was in Hong Kong I go yum cha 飲茶 for dim sum with my family every Sunday as tradition. I usually go to Philly Chinatown to get real Chinese food, I was excited to see a dim sum place opened up close to where I live and had to try it. First of all there is not a dim sum variety having the restaurant name as dim sum court, it should focus more on dim sum as it main course before any other entrees, I recommend expending more, my favorite dim sum dish like chicken feet and sticky rice with lotus leaf is missing, hope they add it one day. Second I think the owner maybe from China as I can tell from the menu are based in China as it follow the cuisine from China and Shanghai. Anyway enough talking, today I order a few dish to try. Steam Pork Bun 菜肉包, BBQ Pork Bun 叉燒包, Pan Fried Pork Bun 生煎包, Yang Chow Fried Rice 揚州炒飯, and General Tso Chicken 左宗棠雞. 
1. Steam pork bun is on point, the look, size, and taste is good. I recommend this bun, but I don't think it should cost 2.5 a piece, maybe it's inflation.
2. BBQ Pork Bun is also on point, but I think this is a mini version because the regular one is usually bigger. The pork is lean and without fat which I like, sauce and taste is good, the bun itself is soft and good. I recommend this.
3. Pan Fried Pork Bun, this is a Shanghai dish, what I received could be bigger, usually it is bigger size in Shanghai. The taste and look is good, I recommend this.
4. Yang Chow Fried Rice, this dish is missing the main ingredient BBQ pork (Char Siu 叉燒), instead it used shredded pork which is ok if you don't know, to me this is more like the American version of house special fried rice, also it's missing green pea. It need more taste, it's missing its fragrance. I probably won't get it again.
5. General Tso Chicken, no doubt this is an American dish and I don't care much for it, but my wife is American and she love this dish so she got it, the chicken just a little smaller than most Chinese restaurants, but it looks ok and my wife say it's good and it's spicy. I don't think any Chinese restaurants can mess it up but I recently got one from a dim sum place up in this area and it's awful. 
Overall I can recommend this place and will continue to try different dish like soup dumplings and beef chow fun. The price is ok because you can't find a place that serve dim sum up in this area if you are craving them. My order is for takeout and not dine in, so I don't know how the service is.",positive,2022-01-17
"One word: ghetto. Never open, despite times being displayed and it looked like a mess inside like someone was living in the store instead. Toys all over the floor. Unprofessional and unclean looking. Hopefully some people will be able get an actually good chamoy business running and successful in Tampa because this was a pathetic excuse for one.",negative,2022-01-12
"Coming from NYC where brunch is abundant, Ruby Slipper was nothing to write home about but was a great option when we've spent days eating New Orleans staples and wanted something different. We started off with the NOLA style iced coffee and each got an entree and was stuffed by the end of our meal. If you want to try different benedicts, I'd recommend the trifecta or you can get the peacemaker and mix and match two. Eggs cochon, chicken st. charles, bayou shrimp, and crawfish & grits were all tasty. The stuffed French toast was exactly what I needed along with the benedicts for a sweet and savory meal.",positive,2022-01-09
"pretty much live for my morning coffee and am a die hard Illy fan. But the Glory roast is even better Best Ive tasted. The coffee shop itself is cute, I love the positive merch. People working there are laid back, very nice. My new place to go every morning when I'm in town.",positive,2022-01-17
Terrible service. Terrible delivery service ever since they switched to door dash. Very slow.,negative,2022-01-12
Don't go to this site it's all about just getting your money and you do not get any service from them,negative,2022-01-13
"Ok, went back to see if maybe my initial 1 star review was a bit harsh. Nope it wasn't. Extremely long wait, staff is moving but nothing seems to be getting done. Lots of frustrated customers in the store. District manager has let this store go down the drain. Sad. You can always go up the street to Mama Java's for local business, but you will wait there too.",negative,2022-01-15
Pretty fast service! Nice people and always good food at first watch! Good place for brunch! beware it's freezing in there bring a coat!!!!,positive,2022-01-16
Fantastic!! Healthy options and it all tastes delicious. They can be busy so be prepared to wait a bit but the wait is worth it!! You have to try there frittatas and potatoes. Highly recommend.,positive,2022-01-11
This is an update from my review in 2014.  This place only gets better with time.  Food is great.  Staff is pleasant.  Only negative is the wait because it's small and so good that people love to come here and often have a line,positive,2022-01-13
"A fantastic Cuban if your in the area, the taste of the pork itself is so good! And when you put everything together and make sure the bread is nice and toasty it's so good! 

I love getting a cafe con leche from here with my sandwich idk what it is about Cuban bread and coffee it always taste good together  

There mojo pork sandwich is really good too it has onions cheese and sauce on it and literally drips while your eating it but the flavors are so good a little spicy but nothing crazy",positive,2022-01-13
"Worst Dunkin on the planet.
They should close the front as there is never anyone behind the counter. Been meeting a friend here since they opened.
Standing at the front counter asking ""Hello"" is anyone here?
Totally ignored for the last time here. It also has put me off Dunkin entirely. I will go elsewhere. Is there any management here? Once as two employees jabbed about personal stuff, I said good morning, and was made to feel I was invisible. Never, never,ever setting foot in that joke again.",negative,2022-01-11
"The staff is always friendly. They probably have the best latte in Nashville. The place is clean. It is conveniently located near my work. On the other hand, sometimes the latte quality is inconsistent.",positive,2022-01-17
"I cannot stress this place enough! The employees, the atmosphere, and most important the food!! I liked this place so much the first time I came, I came here for my 21st birthday. Everyone was beyond sweet. They got the restaurant to sing happy birthday and gave me my first legal shot!! Lol ! We both got the alligator po boys with the fried deviled eggs and they were both amazing. I also got a blood bag sangria drink, which was also delicious! They are very strict with covid vaccines/ negative test so if you are thinking about coming here, this is your sign !",positive,2022-01-17
